subject,course,x,y
Soils,ne 8: Inorganic Carbon Cycle,3.8366,28.487
Evaporation,ne 5: Climate,26.338,-6.7521
Element Substitution,fl 1: Defining Life,-23.391,3.0856
Basalts,ne 7: Age Dating,9.9407,-21.509
L,Intro 6: Drake Conjecture,8.2615,-10.154
Large Planets,ne 6: Planetary Evolution,6.0372,-6.4301
Mass Extinctions,fi 2: Evolution,1.2806,7.1763
Intro,ne 8: Inorganic Carbon Cycle,2.0285,28.406
Broken Evap Feedbacks,ne 9: Habitable Zone,12.958,21.637
Opening Splash,Science Literacy,-4.058,1.3213
Big Jump,R* 2: Brightness,-20.981,-20.372
Intro,Intro 6: Drake Conjecture,9.6657,10.284
Analysis,R* 2: Brightness,-17.074,-18.21
Lecturette:  Negative Feedback,ne 8: Inorganic Carbon Cycle,11.46,21.977
Priming,R* 1: Distance to Stars,7.0809,-19.134
Tutorial,R* 5: Stellar Lifecycles,-2.2543,-16.106
Fraction,fp 1: Transits,-9.2188,16.704
Hypothesis,R* 5: Stellar Lifecycles,-1.8161,-16.317
Welcome,Project,16.257,2.5304
Waste Effect,fc: Civilization and Energy,1.6413,-1.467
Temps - Specific,R* 3: Color,-4.1102,7.9431
Add Masses - Complex,fp 3: Planet Composition,-11.895,20.547
First Thoughts,Intro 3: Space,3.6528,-23.27
Confirmation Bias - Report,Intro 2: Mindscapes,-5.7534,10.593
Linear Plots,R* 4: H-R Diagram,-0.59421,-10.957
Luminosity vs. Retention,fp 4: Atmospheres,-23.402,2.1726
Survey Results,fi 1: Oxygen and Life,15.707,0.084209
Log Plots,R* 4: H-R Diagram,-0.46113,-11.511
Instructions,ne 3: Application,6.2604,24.793
Flux,ne 2: Energy Balance,-23.912,-9.5836
Others,fc: Civilization and Energy,5.3979,-6.4844
Summary,ne 10: Ancient Climates,-17.473,-12.454
Gradient,ne 5: Climate,24.855,-5.5989
Solute Substitution,fl 1: Defining Life,-21.182,13.662
Hypothesis,fp 1: Transits,-1.7597,5.2515
Temp Profile,ne 5: Climate,24.963,-5.0962
Lecturette:  Biosignatures,fl 5: Biosignatures,-2.9651,16.569
Lowest Energy,ne 5: Climate,24.954,-4.6737
Thaw Planet,ne 9: Habitable Zone,10.575,26.782
Environment,fi 2: Evolution,9.1054,12.204
Introduction,ne 6: Planetary Evolution,15.237,10.662
Cell Energy,fi 1: Oxygen and Life,20.65,4.6773
Exit,L: Application,19.632,-10.617
Lecturette:  Bias,fp 1: Transits,-5.8716,-2.7096
Option 3,fp 2: Radial Velocity,12.207,8.2484
Survey Results,ne 3: Gasses,-26.385,-21.311
Survey,ne 10: Ancient Climates,-16.141,-13.942
Intro Survey,Intro 2: Mindscapes,-10.972,15.382
Parallax Demo,R* 1: Distance to Stars,5.2416,-19.388
Peak Wavelengths,R* 3: Color,-3.9089,8.8902
Outer Boundary,ne 9: Habitable Zone,-2.0408,25.334
Axial Tilt,ne 5: Climate,17.442,11.617
Imbalance - Cool Down,ne 2: Energy Balance,-23.481,-8.9689
Lecturette:  Parallax,R* 1: Distance to Stars,4.8147,-19.255
Outcrop,ne 7: Age Dating,8.912,-20.68
Survey Results,fi 2: Evolution,14.895,12.776
Saturation,ne 5: Climate,26.631,-6.5654
R*,Intro 6: Drake Conjecture,8.276,-8.7695
Intro,R* 4: H-R Diagram,-3.0883,-7.9553
Scales,R* 3: Color,8.1407,11.788
Instructions,fl 4: Application,-3.8684,19.452
Blue/White,fi 2: Evolution,15.663,12.589
Convert,R* 3: Color,7.9689,12.489
Cyano Intro,fl 5: Biosignatures,-24.928,-9.4525
Neurons,fi 1: Oxygen and Life,17.546,1.2316
Runaway,L: Doomsday,8.486,9.6988
Sun Flux,R* 4: H-R Diagram,-2.5656,-8.393
Lecturette:  Metabolism,fl 3: Redox Chemistry,-1.034,19.373
Identify Element,fp 2: Radial Velocity,-2.4439,-16.773
Classification,ne 7: Age Dating,9.6775,-21.213
Redox Change,fl 4: Phototrophy,-4.8434,21.836
Intro,ne 2: Energy Balance,-16.314,-14.579
Aerobic Respiration,fl 3: Redox Chemistry,-5.0243,22.054
Calculation,Intro 4: Time,2.6423,-23.831
Luminosity,ne 10: Application,-19.872,-9.0136
Brightness-Distance,fp 1: Transits,-7.0053,12.164
Star 2,fp 1: Transits,-1.2119,1.4591
Faint Young Sun,ne 10: Ancient Climates,13.569,-1.3684
Build-a-Neptune,fp 3: Planet Composition,-23.01,11.228
Logarithms,Science Literacy,-5.9701,0.089239
Survey Results,R* 3: Color,-1.8434,-4.8864
Lecturette:  Runaway Greenhouse,ne 9: Habitable Zone,11.574,25.625
Prelim Final,Conclusion,21.65,6.0145
Lecturette:  Dynamic Atmosphere,ne 10: Ancient Climates,-15.467,-13.832
Freeze,ne 10: Ancient Climates,12.607,26.448
Short Timescales,fi 2: Evolution,7.5615,11.623
Fermi Paradox,Intro 5: The Scientific Process,12.125,8.9171
Logarithmic Scale,R* 2: Brightness,-19.997,-19.864
Survey Results,ne 5: Climate,22.07,0.99729
Introduction,fp 1: Transits,0.063933,-1.4879
Calculation,Intro 4: Time,3.115,-23.938
fi,Intro 6: Drake Conjecture,15.586,16.891
Planet 3,ne 9: Application,-3.1275,23.749
Effective Temperature,L: Doomsday,8.2065,11.21
Lecturette:  Beyond the Hab Zone,ne 9: Habitable Zone,-2.8369,24.565
Perturb Down,ne 8: Inorganic Carbon Cycle,10.795,22.393
Lecturette:  Types of Rocks,ne 7: Age Dating,19.112,-19.13
Instructions,fl 2: Application,-12.58,7.5549
Instructions,Project,16.667,2.3355
Survey,ne 7: Age Dating,19.901,-18.92
Convert,ne 7: Age Dating,9.7832,-14.564
Star Formation,R* 5: Stellar Lifecycles,-3.1328,-15.31
Lecturette:  Mars,ne 9: Habitable Zone,-2.5148,24.942
Methodology,Project,23.599,7.9574
Albedo,ne 2: Energy Balance,-17.652,-9.7751
Hyp - Mass v. Life,R* 5: Stellar Lifecycles,-2.7438,-15.81
Show Colors,fp 2: Radial Velocity,16.778,-9.5095
UR Analysis,ne 7: Age Dating,8.6797,-21.033
Climate Controls,ne 5: Climate,16.957,12.609
Meteorites,fl 2: Life Ingredients,-13.518,5.8633
Geo Explore,fi 1: Oxygen and Life,19.395,2.2838
Orientation,ne 7: Age Dating,16.536,-18.541
O3,ne 3: Gasses,6.6437,26.537
North Pole - Stroms,fl 5: Biosignatures,-19.474,-9.5021
Circulation - Sink,ne 5: Climate,25.11,-7.577
Obs 5,Intro 2: Mindscapes,-7.8588,12.973
Bio Explore,fi 1: Oxygen and Life,18.415,1.5601
Water Intro,ne 1: Water,-20.664,7.7544
Chemical Precipitation,ne 6: Planetary Evolution,14.619,-7.1909
Paired Statements,Intro 1: Preconceptions,-13.215,15.263
Photon,R* 3: Color,1.7234,-1.1458
Simplification,fp 2: Radial Velocity,3.7557,29.212
Survey Results,R* 2: Brightness,-4.9133,-18.836
2nd Law,fl 1: Defining Life,-17.497,8.9354
Inside,fl 5: Biosignatures,-19.315,8.575
Lecturette:  Molecules,fp 4: Atmospheres,-18.797,12.838
Other Effects,fp 1: Transits,0.37167,4.2677
Compare Units,Science Literacy,-13.42,5.5082
Message,Project,24.027,8.3038
Planet 3,fl 4: Application,-3.5179,18.941
Press Release,Project,23.846,8.1782
288 K Color,R* 3: Color,6.8259,15.11
Survey Results,ne 7: Age Dating,19.53,-19.062
Notes,Conclusion,21.887,6.5427
R*,Conclusion,21.359,-11.319
Water Components Escape,ne 9: Habitable Zone,12.304,24.212
Lecturette:  Untestability,Intro 5: The Scientific Process,4.7506,-22.855
Complex Sun,R* 6: Elements,-15.093,-16.478
Intro,Conclusion,20.122,-10.785
Feedbacks,L: Doomsday,12.356,-1.6798
Survey Results,fi 2: Evolution,16.52,12.073
Survey,fi 1: Oxygen and Life,15.213,-0.14337
fl,Conclusion,23.821,-8.5443
Review - Gas,ne 3: Gasses,12.133,16.485
Dales Gorge,fl 5: Biosignatures,-15.327,-10.199
Review - Spectrum,ne 3: Gasses,11.558,15.484
Light Modification,fp 2: Radial Velocity,16.587,-10.512
fi,Conclusion,23.89,-7.8536
Lecturette:  Recycling,R* 6: Elements,13.689,-18.135
Rock Properties,ne 7: Age Dating,14.711,-18.236
Soil --> Rivers,ne 8: Inorganic Carbon Cycle,-17.914,-6.6071
Easiest to Find,fp 1: Transits,-2.6355,0.0094619
Transitions,ne 5: Climate,26.186,-7.0134
About Albedo,ne 2: Energy Balance,-17.502,-10.242
Combo 6,fp 3: Application,-22.277,-2.6203
Individual Collaborative,Conclusion,21.622,5.4603
Planet Reconstruction,fp 3: Planet Composition,-12.064,20.39
Time Transgressive,ne 7: Age Dating,14.592,-18.397
Lifecycle Intro,R* 5: Stellar Lifecycles,-4.6463,-9.2037
Planet Size,ne 2: Energy Balance,-17.363,-10.849
Diffusion,ne 5: Climate,24.473,-6.7428
Geology,ne 5: Climate,16.613,12.86
Add Masses - Simple,fp 3: Planet Composition,-11.721,20.683
Moon,ne 5: Climate,24.494,-7.0267
About Math,Science Literacy,-4.0796,0.97102
Lecturette:  Climate Review,ne 10: Ancient Climates,-2.3644,22.931
Why Geology?,ne 7: Age Dating,18.707,-19.154
Abilities 1,Intro 1: Preconceptions,-19.426,12.167
Evaluation 1,R* 3: Application,-5.6236,-4.5755
UV Behavior,ne 3: Gasses,-0.083655,-0.48943
Energy Usage,fc: Civilization and Energy,0.088913,2.5227
Dip Effect,fp 1: Transits,-3.3991,6.2011
Engagement 2,Conclusion,21.746,4.6234
Lecturette:  Observable Properties,R* 2: Brightness,-5.0179,-19.193
Luminosity,ne 2: Energy Balance,-16.938,-12.199
Shift,fp 2: Radial Velocity,-0.55343,-14.6
Generation 2,fi 2: Evolution,10.447,12.708
AP - Logic 3,ne 2: Energy Balance,-21.746,-5.3834
Atmospheres,ne 6: Planetary Evolution,16.855,-8.7623
Summary,R* 3: Color,-5.4565,-2.7551
Map - Shark Bay,fl 5: Biosignatures,-17.894,8.7562
Small Planets,ne 6: Planetary Evolution,5.6104,-5.8436
Instability,ne 8: Inorganic Carbon Cycle,12.207,21.418
Observations,ne 7: Age Dating,19.034,-10.077
Bathtubs,ne 6: Planetary Evolution,1.4759,9.3589
Microbes,fl 1: Defining Life,-21.88,-4.4784
Trophys,fl 1: Defining Life,-18.844,12.486
Pluto Composition,fp 3: Planet Composition,-24.519,-8.2596
Explain,ne 4: Application,19.915,1.8911
Instructions,fc: Application,18.618,10.591
Introduction,ne 1: Water,-19.954,8.2185
Summary,fp 3: Planet Composition,-23.066,-7.2421
Sequence,ne 7: Age Dating,18.707,-10.211
Set 1,R* 3: Color,-4.2566,1.6828
Evaluation 6,R* 3: Application,-5.4977,-5.0863
Predict Inclinations,fp 1: Transits,-2.4265,16.194
Marble Bar Overhead,ne 7: Age Dating,18.064,-19.156
Summary,ne 2: Energy Balance,-26.201,-22.021
White Dwarf 3,R* 4: H-R Diagram,-2.1052,-8.7898
AP - Logic 6,ne 2: Energy Balance,-22.304,-6.3332
Question,R* 2: Brightness,-6.3871,-21.116
Luminosity,R* 2: Brightness,-22.809,-20.612
Obs 1,Intro 2: Mindscapes,-7.1492,12.448
Abs Mag,R* 2: Brightness,-22.298,-20.609
Small Planets,ne 6: Planetary Evolution,6.2697,-7.1433
Observation,R* 6: Elements,-15.93,-14.476
Science 1,Conclusion,22.357,1.3303
Medium Planets,ne 6: Planetary Evolution,7.2269,-8.4417
Planetary Nebula,ne 6: Planetary Evolution,-0.75961,9.7984
Instructions,fp 3: Application,-22.097,-4.5127
Instructions,ne 6: Application,20.676,-18.451
Build-a-Saturn,fp 3: Planet Composition,-21.467,12.502
Robustness,ne 8: Inorganic Carbon Cycle,9.7044,23.406
Pressure Hypothesis,ne 3: Gasses,0.14512,0.0094019
Intro Survey,fp 1: Transits,0.51456,-0.47666
Populations,R* 5: Stellar Lifecycles,-2.7236,-16.563
Introduction,L: Doomsday,5.9427,-7.1172
Knowing Ages,R* 5: Stellar Lifecycles,-2.2957,-16.545
Water Worlds,ne 1: Water,-16.96,-18.036
Surface Area,ne 6: Planetary Evolution,2.0809,8.2045
Science 3,Intro 1: Preconceptions,-17.304,13.317
Lecturette:  H-R Diagram,R* 4: H-R Diagram,-0.043997,-10.934
Cross-Cutting Relations,ne 7: Age Dating,12.865,-21.134
Industrial Activity,L: Doomsday,13.024,-2.8645
Global Warming,L: Doomsday,12.834,25.417
Exit,ne 1: Application,-16.252,-15.228
Patterns - Analyze,Intro 2: Mindscapes,-8.7565,13.98
Mass Behavior,fp 1: Transits,-0.74209,3.6337
Demo,fp 1: Transits,-7.3918,12.801
Molecules,Science Literacy,-20.151,8.1103
Methanogens,fl 5: Biosignatures,-7.5064,12.314
White Dwarf 2,R* 4: H-R Diagram,-0.21056,-10.658
Sweet Spot,Science Literacy,-6.3549,0.27804
fl-fi-fc,Intro 6: Drake Conjecture,8.2136,-9.6161
Source,ne 8: Inorganic Carbon Cycle,7.2402,26.931
Reflection,Intro 3: Space,-5.6358,-21.8
ne,Intro 6: Drake Conjecture,8.1175,-9.1664
Steady CO2,ne 8: Inorganic Carbon Cycle,8.5261,24.822
Different Masses,fp 1: Transits,-0.82141,4.1225
Hot Flux,R* 4: H-R Diagram,-1.6799,-9.456
North Pole - Cross,fl 5: Biosignatures,-18.649,-9.7877
Instructions,fi 1: Application,20.573,6.1795
Colonization Assumptions,Intro 5: The Scientific Process,14.55,-20.684
Geodynamic Processes,ne 6: Planetary Evolution,5.2544,6.9421
Explore Time,Conclusion,23.718,-2.8459
Survey,fi 2: Evolution,17.066,11.67
Determine Temps,ne 2: Energy Balance,-23.998,-21.726
Fermi Paradox,Conclusion,23.598,-2.4569
Extended EM,R* 3: Color,8.0773,10.146
Intelligence Test,fi 1: Application,20.431,6.6684
Summary,fl 3: Redox Chemistry,-1.1642,19.285
Time Assumption,R* 5: Stellar Lifecycles,-4.4732,-7.9041
Phase Transitions,ne 1: Water,-19.329,-19.829
N2O,ne 3: Gasses,8.8396,27.315
All Explore,fi 1: Oxygen and Life,19.952,2.9436
Aware,Intro 2: Mindscapes,5.5448,-9.0202
Temp vs. Luminosity,ne 2: Energy Balance,-18.271,-8.5318
Process Knowledge,Conclusion,21.685,5.003
Broken System,ne 9: Habitable Zone,11.854,24.914
Variation,fi 2: Evolution,9.7808,12.394
View North,ne 7: Age Dating,8.8092,-20.661
Missing Light,fp 1: Transits,-6.1858,9.9629
Results,R* 5: Stellar Lifecycles,-0.48909,-17.032
Start Loop,ne 8: Inorganic Carbon Cycle,2.081,28.572
Ignore,ne 7: Age Dating,14.296,-18.715
R* Conclusion,R* 6: Elements,0.42594,-14.405
Angle View,R* 1: Distance to Stars,3.9406,-18.792
Density Rank,fp 3: Planet Composition,-8.5577,24.123
Exit,fl 5: Application,14.377,-0.76553
Loop - CO2/GHE,ne 8: Inorganic Carbon Cycle,2.0589,28.471
fp Conclusion,fp 4: Atmospheres,-18.724,12.258
Global Warming,L: Doomsday,8.2975,26.125
Lec - Brains,Intro 2: Mindscapes,-10.536,15.207
RV to Mass,fp 2: Radial Velocity,14.696,14.923
Survey Results,fl 3: Redox Chemistry,-11.737,15.907
Waste Redox,fl 3: Redox Chemistry,-6.6914,21.302
Deaths - Yellow,R* 5: Stellar Lifecycles,-0.42836,-17.084
Events,ne 7: Age Dating,24.974,-5.035
Planck - Actual,R* 6: Elements,-14.763,-16.907
Lecturette:  Inclinations,fp 1: Transits,-8.2868,13.794
Stability,ne 8: Inorganic Carbon Cycle,11.901,21.627
Question 2,L: Application,16.532,-8.1399
In Between,fp 2: Radial Velocity,10.951,26.361
Gravity,ne 7: Age Dating,16.375,-17.82
Question 1,L: Application,17.533,-9.2889
Spectrum,fp 2: Radial Velocity,-2.95,-17.21
Linear Scale,R* 2: Brightness,-18.919,-19.12
Introduction,fl 2: Life Ingredients,-15.842,6.9683
Perturb Up,ne 8: Inorganic Carbon Cycle,10.311,22.802
Night Lights,Conclusion,23.737,-4.4118
Convection Cell,ne 5: Climate,25.388,-7.6369
Concluding Survey,Intro 2: Mindscapes,3.6162,-23.023
Count Features,ne 6: Planetary Evolution,13.041,8.3514
Big Bang,R* 6: Elements,-5.1875,-20.305
Survey,R* 6: Elements,-4.5094,-18.477
Caveat,fp 2: Radial Velocity,16.774,-8.9524
Full Timeline,fi 2: Evolution,1.5041,7.7168
Evaluate,R* 2: Brightness,-17.344,-18.309
Distance - AZ-CA,Intro 3: Space,3.6583,-23.068
Evaluation 4,R* 4: Application,-4.0393,-7.7107
Solar System,Intro 3: Space,-3.5871,-22.639
Lecturette:  Search Strategies,fp 1: Transits,0.40229,1.586
CO2,ne 3: Gasses,9.3643,27.172
Classify Units,Science Literacy,-12.846,5.2928
Drawing Conclusions,fp 1: Transits,-4.0399,-0.49156
Brighter,R* 2: Brightness,-21.838,-20.586
Option 2,fp 2: Radial Velocity,16.627,-8.0327
Individuals,fi 2: Evolution,2.4639,9.6752
Full Sequence,ne 7: Age Dating,25.345,-5.8116
Past Temps,ne 10: Ancient Climates,13.307,-1.8167
Scenarios,L: Doomsday,12.204,-1.2252
Plans,Conclusion,23.325,-1.2663
Circulation - Rise,ne 5: Climate,24.895,-7.6635
H2S,ne 3: Application,15.742,2.8127
Question 1,ne 4: Application,19.385,1.8309
Summary,fl 1: Defining Life,-16.438,7.4228
Question 2,ne 4: Application,18.016,1.9129
Powers of Ten,Intro 3: Space,-5.2854,-21.99
Obs 6,Intro 2: Mindscapes,-6.386,11.058
Hot Environment,ne 10: Ancient Climates,16.11,2.8694
Lecturette:  Marble Bar,ne 7: Age Dating,14.721,-0.64479
Waste,fl 3: Redox Chemistry,-7.0843,21.068
Unique,R* 6: Elements,-15.282,-11.843
Alternatives,fl 3: Redox Chemistry,-2.173,22.328
O3,ne 3: Application,15.489,2.9379
Min Doppler,fp 2: Radial Velocity,12.655,24.565
Water Escape,ne 9: Habitable Zone,12.844,22.706
Periodic Table,Science Literacy,-19.694,7.9629
Cracks,ne 7: Age Dating,13.857,-19.615
Water Vapor Atmosphere,ne 9: Habitable Zone,12.979,22.158
Nebula,R* 6: Elements,-5.6565,-21.149
Lecturette:  Stellar Properties,R* 5: Stellar Lifecycles,-4.5008,-8.3429
Kepler Results,fp 1: Transits,0.65484,8.2057
Exit,fp 4: Application,-19.04,9.342
3D Space,fp 1: Transits,0.69264,9.4456
Timeline,fl 5: Biosignatures,-3.1188,16.209
Knossos - Stroms,fl 5: Biosignatures,-23.507,-8.9427
Lecturette - Preconceptions,Intro 1: Preconceptions,-11.396,15.542
Summary,R* 1: Distance to Stars,-3.0962,-17.551
Fate,Conclusion,23.108,7.8519
Perspective,Intro 1: Preconceptions,-23.061,10.708
Relationship,fp 1: Transits,-6.8449,11.72
Dry Air,ne 5: Climate,23.281,7.5687
Transit of Venus,fp 1: Transits,-2.0949,15.524
Reasons,Intro 1: Preconceptions,-20.102,12.092
Water Location,ne 9: Habitable Zone,12.972,21.32
Evap Feedbacks,ne 9: Habitable Zone,12.946,21.348
Event 1,Intro 6: Drake Conjecture,9.523,10.844
Priming - No,Conclusion,22.458,7.3437
Photolysis,fl 2: Life Ingredients,-14.713,6.241
Conclusion,R* 6: Elements,0.5639,-14.727
Evaluating Evidence,Intro 5: The Scientific Process,21.338,-12.123
Bacterio/chlorophyll,fl 4: Phototrophy,-8.1433,24.249
Lecturette:  Molecules and Light,ne 3: Gasses,11.284,15.063
Abilities 2,Intro 1: Preconceptions,-18.719,12.35
Colors,R* 3: Color,2.5166,-0.53671
Dive In,ne 7: Age Dating,16.067,-18.347
Lecturette:  Distances,R* 1: Distance to Stars,5.761,-19.364
Pressure Effects,ne 2: Energy Balance,-23.579,-21.69
Objects,R* 3: Application,-4.3914,-6.786
Summary,R* 4: H-R Diagram,-3.1733,-8.0539
Witness - Report 3,Intro 2: Mindscapes,5.3083,-6.4603
Solar Future,L: Doomsday,7.7711,14.859
Temperature,ne 10: Application,-20.374,-8.1869
Group Molecules - UV and IR,ne 3: Gasses,9.4627,12.568
Stochastic,ne 7: Age Dating,23.061,-2.1664
Luminosity,L: Doomsday,7.7522,14.224
Model Evaluation,ne 10: Ancient Climates,14.004,-0.99782
Survey,fl 5: Biosignatures,-2.9384,17.676
Catastrophism,ne 7: Age Dating,16.299,-18.085
Group Molecules - UV Only,ne 3: Gasses,9.0063,11.534
Population,fi 2: Evolution,6.7818,11.388
Definitions,L: Application,19.053,-10.278
Explain,L: Application,18.315,-9.7346
Bridge,R* 5: Stellar Lifecycles,-0.48664,-17.036
Energy Where?,R* 6: Elements,-16.175,-13.938
Waste,fc: Civilization and Energy,0.80251,-0.31169
Survey,ne 3: Gasses,-26.515,-21.536
Science 1,Intro 1: Preconceptions,-18.25,12.625
Targeted or Accidental,Intro 5: The Scientific Process,5.7102,-22.521
Sun Percentage,R* 3: Color,-0.41872,11.218
Peak Wavelength,R* 3: Color,0.70466,14.303
Blue Percentage,R* 3: Color,-3.1103,9.6628
Volume Rank,fp 3: Planet Composition,-8.9752,23.505
Red Percentage,R* 3: Color,-3.7059,9.1942
Geomorphic Processes,ne 6: Planetary Evolution,15.307,-7.9465
RH - Calcuate,ne 2: Energy Balance,-25.034,-21.994
Exit,fp 1: Application,-26.729,-20.139
Density Calculations,fp 3: Planet Composition,-11.427,21.026
Convection,ne 5: Climate,24.672,-7.5243
GHE,ne 10: Application,-21.126,-6.9238
Stromatolites,fl 5: Biosignatures,-23.401,9.3199
Volcanism,ne 6: Planetary Evolution,4.4491,7.0437
Sequence 2,ne 7: Age Dating,22.308,-9.5513
Energy Usage,fc: Civilization and Energy,4.4102,-4.9293
Thinking - RH Mars Pattern,Science Literacy,-14.72,6.1704
Planet Mass,fp 2: Radial Velocity,15.287,12.496
Priming,Intro 1: Preconceptions,-11.657,15.579
Thinking - Venus,Science Literacy,-16.228,6.8593
Medium Planets,ne 6: Planetary Evolution,5.8895,-6.2246
Tool Use,Science Literacy,-4.8991,-0.21786
Lecturette:  Mass-Gravity,fp 2: Radial Velocity,-25.775,-19.841
Summary,ne 7: Age Dating,14.533,-0.30902
Time Thoughts,Intro 4: Time,-5.944,-21.766
Instructions,L: Application,8.3878,7.7686
Summary,ne 5: Climate,16.308,12.498
Priming App,Conclusion,22.041,6.7512
Witness - Report 2,Intro 2: Mindscapes,5.3949,-5.8028
Role,Conclusion,23.174,7.9291
Mass and Radius,R* 5: Stellar Lifecycles,-4.6354,-8.7909
Group Molecules - All,ne 3: Gasses,9.9793,13.307
Witness - Report,Intro 2: Mindscapes,5.1714,-4.9506
Food Security,L: Doomsday,8.9698,16.1
Major Details,Conclusion,23.458,-1.6188
Add Snowballs,fi 1: Oxygen and Life,20.514,4.1793
Apex Basalt,ne 7: Age Dating,20.399,-9.9835
Modern Energy,fc: Civilization and Energy,0.092364,1.3274
Witness - Analyze,Intro 2: Mindscapes,5.3555,-6.7543
Survey,L: Doomsday,6.2956,-7.5191
fc,Intro 6: Drake Conjecture,15.847,16.909
Survey Results,L: Doomsday,6.9542,-8.1643
Loop - H2O/Rain,ne 8: Inorganic Carbon Cycle,2.4896,28.975
Lecturette:  Assumptions,Intro 5: The Scientific Process,5.1526,-22.608
Commercial Space,Intro 5: The Scientific Process,12.46,-21.418
Lecturette:  Life,fl 1: Defining Life,-16.847,7.8737
Lecturette:  Light Types,R* 3: Color,0.41173,-2.5281
Map,ne 7: Age Dating,18.466,-19.173
Planet Rocks,ne 6: Planetary Evolution,6.1543,-6.6964
Sequence 5,ne 7: Age Dating,25.948,-6.9523
Phototrophy,fl 4: Phototrophy,-5.6532,20.786
Normalization,fp 1: Transits,-6.4438,11.424
Outcrop Orientation,ne 7: Age Dating,8.878,-21.184
Observations,fp 1: Transits,-3.2767,17.817
Face-On,fp 2: Radial Velocity,11.438,25.709
Survey Results,fl 5: Biosignatures,-2.9382,17.049
Third Law,fl 1: Defining Life,-17.772,9.4413
L,Intro 6: Drake Conjecture,16.903,6.8622
Describe Outcrop,ne 7: Age Dating,9.0402,-21.302
Explore - GHE/Albedo,ne 10: Ancient Climates,-14.899,-13.644
Location 2,ne 5: Application,15.745,11.315
H-alpha,fp 2: Radial Velocity,-1.0573,-15.205
Classify,ne 2: Application,-26.265,-21.79
Tutorial,ne 2: Energy Balance,-17.772,-9.287
Instructions,ne 1: Application,-16.396,-17.189
Brains,Intro 2: Mindscapes,5.6791,-7.6842
Engagement 2,Intro 1: Preconceptions,-13.675,15.074
Exit,ne 5: Application,15.538,10.924
Instructions,ne 2: Energy Balance,-18.009,-8.8831
Highest Energy,ne 5: Climate,24.888,-3.8692
Abilities 2,Conclusion,22.998,-0.59381
CURE Consent,Intro 1: Preconceptions,-22.613,11.207
Mass-Speed,fp 4: Atmospheres,-22.373,0.20346
Expanding Parameters,fl 3: Redox Chemistry,-0.7802,19.537
Evaluation 2,R* 2: Application,-5.0821,-6.7768
Cells,fl 1: Defining Life,-22.384,-2.7009
Fast Change,fi 2: Evolution,1.5254,8.2525
Complete Loop,ne 8: Inorganic Carbon Cycle,3.1375,28.663
Application,R* 2: Brightness,-18.055,-18.568
AP - Logic 2,ne 2: Energy Balance,-21.55,-5.3592
Star Composition,R* 6: Elements,-5.8376,-21.508
Distance vs. Retention,fp 4: Atmospheres,-23.376,1.9672
Properties,R* 3: Color,7.8123,8.2747
fp,Conclusion,21.811,-11.371
Big Jump,R* 2: Brightness,-19.645,-19.624
Anyone Else?,Conclusion,22.77,7.6943
Summary,R* 6: Elements,0.26268,-14.007
Instructions,fp 2: Application,-22.926,-6.777
Lecturette:  Observing Atmospheres,ne 3: Gasses,12.505,25.469
fc,Conclusion,23.76,-7.0945
Survey Results,fp 4: Atmospheres,-22.11,-0.5677
Sources v. Sinks,fl 5: Biosignatures,-16.002,-10.371
Compilation,ne 3: Gasses,13.371,24.764
Oxygen World,fl 5: Biosignatures,-16.621,-10.312
Survey,Intro 5: The Scientific Process,4.217,-23.286
Volume,ne 6: Planetary Evolution,2.3183,7.9006
Get Mass,fp 2: Radial Velocity,13.261,9.9211
All Planets,ne 6: Planetary Evolution,5.2083,-5.1686
Observation,R* 6: Elements,-15.633,-15.444
Heat Loss,ne 6: Planetary Evolution,3.2587,7.3691
Arrows,ne 3: Gasses,13.034,25.05
Color Coordination,fp 2: Radial Velocity,16.849,-9.9921
RH - Evaluate,Science Literacy,-15.717,6.6456
Classify Basalts,ne 7: Age Dating,16.33,-19.587
Breakthrough Incremental,Conclusion,21.703,5.7805
Max Doppler,fp 2: Radial Velocity,13.176,24.127
Bias Accounting,fp 1: Transits,-3.526,-0.33004
Question 4,ne 4: Application,18.979,1.9223
Survey Results,R* 6: Elements,-4.6339,-18.956
Sample Comparison,R* 2: Brightness,-24.031,-20.253
Combo 2,ne 1: Application,-16.134,-15.888
Gas Loss,fp 4: Atmospheres,-22.872,0.98406
Vis Percentages,ne 3: Gasses,-6.7613,-4.9649
Summary,fi 2: Evolution,0.13703,5.1016
Volcanoes,ne 6: Planetary Evolution,16.164,-8.8368
Sun Emission,fl 4: Phototrophy,-8.2325,22.486
Solution,L: Doomsday,8.0178,15.29
Model Planet,fl 4: Phototrophy,-8.3685,22.878
System 1b,ne 4: Application,17.511,1.9117
Lecturette:  Phototrophy,fl 4: Phototrophy,-4.6756,20.842
Jumps,R* 2: Brightness,-20.558,-20.192
Match Model,fp 1: Transits,-3.5322,17.986
Global Cooling,L: Doomsday,10.991,25.106
Originally Horizontal,ne 7: Age Dating,10.977,-21.674
Tree of Life,fl 1: Defining Life,-22.657,-1.8042
Exit,ne 4: Application,20.487,1.8119
Density Differences,ne 5: Climate,24.514,-7.3655
Where's the Water?,ne 9: Habitable Zone,12.964,21.812
AP - Logic 5,ne 2: Energy Balance,-22.105,-5.7863
Sun Energy,fl 4: Phototrophy,-6.312,21.208
